player_name,image_filename,is_retained,retaining_team_name,last_year_price,role,last_team,overall_matches,overall_runs,overall_wickets,overall_sr,overall_hs,batting_inn,batting_avg,bowling_inn,bowling_avg,econ,bbi
YUVARAJ MUTHAMIZH,yuvaraj_muthamizh.png,FALSE,,,JOLLY PLAYERS,JOLLY PLAYERS,39,510,10,103.66,61,36,14.15,12,19.5,7.09,3(11)
SANJAI RISHI SILAMBARASAN,sanjai_rishi.png,FALSE,,,JOLLY PLAYERS,JOLLY PLAYERS,27,254,4,67.91,63,22,12.1,13,57.5,7.04,1(6)
GOPI MOHAN,GOPI_MOHAN.png,FALSE,,,,,193,1186,132,92.08,56,145,10.98,138,22.27,6.48,5(8)
TAMILVANAN,TAMILVANAN.jpg,FALSE,,,,,65,754,10,134.64,62,54,18.39,12,19.9,7.37,2(14)
RAJARAJAN,RAJARAJAN.png,FALSE,,,,,121,1229,18,104.6,48,100,14.13,33,26.5,8.37,3(3)
HARI,HARI.png,FALSE,,,,,76,801,83,113.3,67,63,17.8,70,16.93,6.32,4(12)
SANTHOSH,SANTHOSH.png,FALSE,,,,,46,418,29,96.06,73,38,14.93,30,17.38,6.81,4(27)
TAMIL,TAMIL.png,FALSE,,,,,-,-,-,-,-,-,-,-,-,-,-
RAJA,RAJA.png,FALSE,,,,,223,3165,283,92.19,93,190,20.29,190,14.46,5.47,5(12)
VIJAYAKUMAR DHARMARAJAN,VIJAYAKUMAR_DHARMARAJAN.png,FALSE,,,,,106,1380,103,94.46,76,97,17.25,76,13.8,6.33,4(3)
SILAMBARASAN,,TRUE,APJ TAMIZHAN,1500,APJ TAMIZHAN,,109,1908,147,120.84,103,,,,,,
RANJITH,,TRUE,APJ TAMIZHAN,1400,APJ TAMIZHAN,,71,970,35,110.6,105,,,,,,
SARANRAJ,,TRUE,APJ TAMIZHAN,1350,APJ TAMIZHAN,,160,1399,215,113.74,62,,,,,,
ARUNDHARSHAN,,TRUE,APJ TAMIZHAN,575,APJ TAMIZHAN,,-,-,-,-,-,,,,,,
RAMESH,,TRUE,APJ TAMIZHAN,475,APJ TAMIZHAN,,88,1165,47,144.72,110,,,,,,
PRATHISH,,TRUE,APJ TAMIZHAN,325,APJ TAMIZHAN,,81,1155,37,77.05,72,,,,,,
MUKIL,,TRUE,THUNDER STRIKERS,1800,THUNDER STRIKERS,,268,7352,105,138.07,119,,,,,,
ANBU,,TRUE,THUNDER STRIKERS,1650,THUNDER STRIKERS,,235,1343,199,87.78,100,,,,,,
GURU,,TRUE,THUNDER STRIKERS,1500,THUNDER STRIKERS,,229,2392,324,67.17,61,,,,,,
DINESH,,TRUE,THUNDER STRIKERS,700,THUNDER STRIKERS,,89,794,90,92.22,58,,,,,,
VIGNESH,,TRUE,THUNDER STRIKERS,675,THUNDER STRIKERS,,,,,,,,,,,,
CHANDRU,,TRUE,THUNDER STRIKERS,650,THUNDER STRIKERS,,268,6070,101,126.96,121,,,,,,
CHINNAPULLA,,TRUE,THUNDER STRIKERS,650,THUNDER STRIKERS,,43,428,21,108.08,90,,,,,,
HARI_1,,TRUE,THUNDER STRIKERS,450,THUNDER STRIKERS,,142,1984,81,86.64,79,,,,,,
RAJAMOORTHI,,TRUE,THUNDER STRIKERS,425,THUNDER STRIKERS,,,,,,,,,,,,
SATHISH RAJU,,TRUE,THUNDER STRIKERS,225,THUNDER STRIKERS,,50,714,7,154.88,82,,,,,,
VASANTH,,TRUE,CRAZY 11,1700,CRAZY 11,,135,2813,38,102.03,78,,,,,,
NITHYARAJ,,TRUE,CRAZY 11,1500,CRAZY 11,,118,1573,167,83.05,84,,,,,,
PRIYADHARSHAN,,TRUE,CRAZY 11,1100,CRAZY 11,,108,1457,2,77.46,139,,,,,,
NAVEEN,,TRUE,CRAZY 11,900,CRAZY 11,,54,388,58,92.38,52,,,,,,
THILLAI,,TRUE,CRAZY 11,225,CRAZY 11,,15,30,1,44.12,6,,,,,,
ABI,,TRUE,CRAZY 11,225,CRAZY 11,,39,209,23,101.95,42,,,,,,
SRIDHAR,,TRUE,DADA WARRIORS,2600,DADA WARRIORS,,52,332,41,75.8,52,,,,,,
PRAVEEN,,TRUE,DADA WARRIORS,1500,DADA WARRIORS,,77,849,88,90.71,62,,,,,,
KAMAL,,TRUE,DADA WARRIORS,375,DADA WARRIORS,,82,1365,7,94.73,67,,,,,,
FRANKLIN,,TRUE,DADA WARRIORS,225,DADA WARRIORS,,166,1822,17,80.41,83,,,,,,
PRAKASH,,TRUE,DADA WARRIORS,225,DADA WARRIORS,,78,878,43,91.84,55,,,,,,
SIVA SUBRAMANIYAN,,TRUE,DADA WARRIORS,225,DADA WARRIORS,,23,61,10,54.95,21,,,,,,
DHARNESH,,TRUE,DADA WARRIORS,225,DADA WARRIORS,,96,1807,18,90.21,132,,,,,,
VEERA,,TRUE,JOLLY PLAYERS,1700,JOLLY PLAYERS,,156,2224,155,123.62,100,,,,,,
VINOTH,,TRUE,JOLLY PLAYERS,1500,JOLLY PLAYERS,,77,446,49,84.31,41,,,,,,
MOULI,,TRUE,JOLLY PLAYERS,1100,JOLLY PLAYERS,,78,553,55,108.86,47,,,,,,
VASUDEVAN,,TRUE,JOLLY PLAYERS,250,JOLLY PLAYERS,,34,68,35,53.54,14,,,,,,
KISHORE,,TRUE,JOLLY PLAYERS,225,JOLLY PLAYERS,,76,334,46,46.2,36,,,,,,
SANJITH,,TRUE,JOLLY PLAYERS,225,JOLLY PLAYERS,,64,488,1,56.61,54,,,,,,
POOVARASAN,,TRUE,SPARTEN ROCKERZ,1850,SPARTEN ROCKERZ,,237,5776,157,116.97,107,,,,,,
BHARATHI,,TRUE,SPARTEN ROCKERZ,1500,SPARTEN ROCKERZ,,214,2474,283,104.74,67,,,,,,
ABISHEK,,TRUE,SPARTEN ROCKERZ,275,SPARTEN ROCKERZ,,32,454,1,91.16,64,,,,,,
GOWTHAM,,TRUE,SPARTEN ROCKERZ,225,SPARTEN ROCKERZ,,73,426,48,76.76,39,,,,,,
BALAJI,,TRUE,SPARTEN ROCKERZ,225,SPARTEN ROCKERZ,,113,247,71,64.66,24,,,,,,
